"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 16 08:30:49 GMT 2024","Mon Sep 16 08:30:55 GMT 2024","6053","","test.desktop.CreateItemTest","","test.desktop.CreateItemTest","shouldCreateItemWithRequiredFieldOnly","Create item with required 'description' field",""
"passed","Mon Sep 16 08:31:01 GMT 2024","Mon Sep 16 08:31:06 GMT 2024","5113","","test.desktop.ItemInfoTest","","test.desktop.ItemInfoTest","shouldGetItemInfo","Get Item info",""
"passed","Mon Sep 16 08:30:28 GMT 2024","Mon Sep 16 08:30:40 GMT 2024","12639","","test.desktop.EditItemTest","","test.desktop.EditItemTest","shouldEditItem","Edit item",""
"passed","Mon Sep 16 08:30:41 GMT 2024","Mon Sep 16 08:30:48 GMT 2024","7873","","test.desktop.DeleteItemTest","","test.desktop.DeleteItemTest","shouldDeleteItem","Delete item",""
"passed","Mon Sep 16 08:30:55 GMT 2024","Mon Sep 16 08:31:01 GMT 2024","6156","","test.desktop.CreateItemTest","","test.desktop.CreateItemTest","shouldCreateItem","Create item",""
