"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 17 09:20:23 GMT 2024","Tue Sep 17 09:20:32 GMT 2024","8630","","test.desktop.DeleteItemTest","","test.desktop.DeleteItemTest","shouldDeleteItem","Delete item",""
"passed","Tue Sep 17 09:20:32 GMT 2024","Tue Sep 17 09:20:39 GMT 2024","6534","","test.desktop.CreateItemTest","","test.desktop.CreateItemTest","shouldCreateItemWithRequiredFieldOnly","Create item with required 'description' field",""
"passed","Tue Sep 17 09:20:39 GMT 2024","Tue Sep 17 09:20:45 GMT 2024","6934","","test.desktop.CreateItemTest","","test.desktop.CreateItemTest","shouldCreateItem","Create item",""
"passed","Tue Sep 17 09:20:45 GMT 2024","Tue Sep 17 09:20:51 GMT 2024","6027","","test.desktop.ItemInfoTest","","test.desktop.ItemInfoTest","shouldGetItemInfo","Get Item info",""
"passed","Tue Sep 17 09:20:11 GMT 2024","Tue Sep 17 09:20:23 GMT 2024","12224","","test.desktop.EditItemTest","","test.desktop.EditItemTest","shouldEditItem","Edit item",""
