"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 05 07:27:22 GMT 2024","Sat Oct 05 07:27:28 GMT 2024","6230","","test.desktop.CreateItemTest","","test.desktop.CreateItemTest","shouldCreateItemWithRequiredFieldOnly","Create item with required 'description' field",""
"passed","Sat Oct 05 07:27:28 GMT 2024","Sat Oct 05 07:27:35 GMT 2024","6703","","test.desktop.CreateItemTest","","test.desktop.CreateItemTest","shouldCreateItem","Create item",""
"passed","Sat Oct 05 07:26:56 GMT 2024","Sat Oct 05 07:27:08 GMT 2024","12022","","test.desktop.EditItemTest","","test.desktop.EditItemTest","shouldEditItem","Edit item",""
"passed","Sat Oct 05 07:27:08 GMT 2024","Sat Oct 05 07:27:14 GMT 2024","5745","","test.desktop.ItemInfoTest","","test.desktop.ItemInfoTest","shouldGetItemInfo","Get Item info",""
"passed","Sat Oct 05 07:27:14 GMT 2024","Sat Oct 05 07:27:22 GMT 2024","8329","","test.desktop.DeleteItemTest","","test.desktop.DeleteItemTest","shouldDeleteItem","Delete item",""
