"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 17 08:18:19 GMT 2024","Tue Sep 17 08:18:25 GMT 2024","5640","","test.desktop.ItemInfoTest","","test.desktop.ItemInfoTest","shouldGetItemInfo","Get Item info",""
"passed","Tue Sep 17 08:17:45 GMT 2024","Tue Sep 17 08:17:58 GMT 2024","12470","","test.desktop.EditItemTest","","test.desktop.EditItemTest","shouldEditItem","Edit item",""
"passed","Tue Sep 17 08:17:58 GMT 2024","Tue Sep 17 08:18:06 GMT 2024","8599","","test.desktop.DeleteItemTest","","test.desktop.DeleteItemTest","shouldDeleteItem","Delete item",""
"passed","Tue Sep 17 08:18:06 GMT 2024","Tue Sep 17 08:18:13 GMT 2024","6436","","test.desktop.CreateItemTest","","test.desktop.CreateItemTest","shouldCreateItemWithRequiredFieldOnly","Create item with required 'description' field",""
"passed","Tue Sep 17 08:18:13 GMT 2024","Tue Sep 17 08:18:19 GMT 2024","6350","","test.desktop.CreateItemTest","","test.desktop.CreateItemTest","shouldCreateItem","Create item",""
